name,line
CYMBELINE,ACT I
CYMBELINE,SCENE I. Elsinore. A platform before the castle.
CYMBELINE,FRANCISCO at his post. Enter to him BERNARDO
BERNARDO,Who's there?
FRANCISCO,"Nay, answer me: stand, and unfold yourself."
BERNARDO,Long live the king!
FRANCISCO,Bernardo?
BERNARDO,He.
FRANCISCO,You come most carefully upon your hour.
BERNARDO,"'Tis now struck twelve, get thee to bed, Francisco."
FRANCISCO,"For this relief much thanks: 'tis bitter cold,"
FRANCISCO,And I am sick at heart.
BERNARDO,Have you had quiet guard?
FRANCISCO,Not a mouse stirring.
BERNARDO,"Well, good night."
BERNARDO,"If you do meet Horatio and Marcellus,"
BERNARDO,"The rivals of my watch, bid them make haste."
FRANCISCO,"I think I hear them. Stand, ho! Who's there?"
FRANCISCO,Enter HORATIO and MARCELLUS
HORATIO,Friends to this ground.
MARCELLUS,And liegemen to the Dane.
FRANCISCO,Give you good night.
MARCELLUS,"O, farewell, honest soldier:"
MARCELLUS,Who hath relieved you?
FRANCISCO,Bernardo has my place.
FRANCISCO,Give you good night.
FRANCISCO,Exit
MARCELLUS,Holla! Bernardo!
BERNARDO,"Say,"
BERNARDO,"What, is Horatio there?"
HORATIO,A piece of him.
BERNARDO,"Welcome, Horatio: welcome, good Marcellus."
MARCELLUS,"What, has this thing appear'd again to-night?"
BERNARDO,I have seen nothing.
MARCELLUS,"Horatio says 'tis but our fantasy,"
MARCELLUS,And will not let belief take hold of him
MARCELLUS,"Touching this dreaded sight, twice seen of us:"
MARCELLUS,Therefore I have entreated him along
MARCELLUS,"With us to watch the minutes of this night,"
MARCELLUS,"That if again this apparition come,"
MARCELLUS,He may approve our eyes and speak to it.
HORATIO,"Tush, tush, 'twill not appear."
BERNARDO,"Sit down awhile,"
BERNARDO,"And let us once again assail your ears,"
BERNARDO,That are so fortified against our story
BERNARDO,What we have two nights seen.
HORATIO,"Well, sit we down,"
HORATIO,And let us hear Bernardo speak of this.
BERNARDO,"Last night of all,"
BERNARDO,When yond same star that's westward from the pole
BERNARDO,Had made his course to illume that part of heaven
BERNARDO,"Where now it burns, Marcellus and myself,"
BERNARDO,"The bell then beating one,--"
BERNARDO,Enter Ghost
MARCELLUS,"Peace, break thee off, look, where it comes again!"
BERNARDO,"In the same figure, like the king that's dead."
MARCELLUS,"Thou art a scholar, speak to it, Horatio."
BERNARDO,"Looks it not like the king?  mark it, Horatio."
HORATIO,Most like: it harrows me with fear and wonder.
BERNARDO,It would be spoke to.
MARCELLUS,"Question it, Horatio."
HORATIO,"What art thou that usurp'st this time of night,"
HORATIO,Together with that fair and warlike form
HORATIO,In which the majesty of buried Denmark
